name,country_name,longitude,latitude,population,significance
Nanjangūd,India,12.11764,76.68397,50243,95497212
Ono,Japan,34.85,134.93333,50230,1986037906
Al Khābūrah,Oman,23.97144,57.09313,50223,750711108
Saint-Gilles,Belgium,50.82763,4.34389,50221,2239574263
Sālūr,India,18.51716,83.20548,50206,95426886
Chusovoy,Russian Federation,58.3013,57.8131,50205,516841760
Sour el Ghozlane,Algeria,36.14766,3.69123,50204,166194646
Bilhorod-Dnistrovskyi,Ukraine,46.19484,30.34827,50201,176966733
Anju,North Korea,39.61778,125.66472,50196,55738215
Aliso Viejo,United States,33.56504,-117.72712,50195,3189569887
Bletchley,United Kingdom,51.99334,-0.73471,50193,2022006858
Villa Francisca,Dominican Republic,18.48278,-69.88914,50185,364754462
Galveston,United States,29.30135,-94.7977,50180,3188616733
Keighley,United Kingdom,53.86791,-1.90664,50171,2021120596
Poway,United States,32.96282,-117.03586,50157,3187155231
Edina,United States,44.88969,-93.34995,50138,3185947903
Buta,Congo,2.78582,24.72997,50130,27913045
